id,Name,titleProject_id,class,score,login,password
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,VK99Inyh
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,iW8VE0iR
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,yhlnV6mO
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,Jck9yR6u
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,u5qHspO3
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,I9X6AkHj
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,4uWKdDr8
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,jDas9eRW
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,W7lKonqL
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,fE5r18CN
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,9kxEsEdZ
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,hZaLKE7y
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,5oAJpGuJ
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,mcE9iKti
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,VUlE0aRt
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,o2AFQVRW
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,Zc6aabti
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,rINeMC4U
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,tdYfz3L1
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,RExHnB5T
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,TIRtUT8C
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,iF2aHsCR
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,j5SosLJF
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,0fPDztE2
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,CfxMp900
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,8Iu7Bsdh
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,AgPX61gc
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,WW3Qhz4Q
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,0gAFZ9v9
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,9Fm6asmH
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,AhisAM79
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,y91aSHut
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,Lss9HBfx
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,Xt92SZqZ
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,FH7oBkNP
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,8fpTq2GH
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,2V9LofQ6
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,GYFm4TGe
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,CM4QuqE7
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,qZg3XV9p
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,6JatKMof
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,GOMikpu1
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,eOq4nREu
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,Ee1WXv5R
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,dPhWpT0Q
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,Y2bbteiT
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,ZufvDa2G
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,2S2rspaL
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,GEpdhYK3
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,0fDqSCXm
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,oJUsb6uf
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,B1s3KwWv
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,SEc2T6OT
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,FWV9Upmi
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,sq17TDgF
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,v6pozkE0
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,G6oy46cR
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,7gItz0SY
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,UajoXp1A
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,5yT0TN1x
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,RqjqYoN1
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,z79E6tQX
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,8opWuZiC
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,W9Gm9a6z
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,r5mx5qnI
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,CVvqTA8h
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,Dn9kNZwr
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,91hSy9OL
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,AcXXk6Q3
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,IZf6usUa
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,Y79OmNoW
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,OQ7dq1L2
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,4SSiBphg
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,7oWpIk8h
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,19kDhn4n
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,L31uZlGF
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,Yv0d55Tz
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,G7OZ8z8U
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,wMN60UdL
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,aQI9PJci
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,aEu9KSQp
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,CoX52E5R
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,VifTo6Om
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,4lK0LdRf
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,4F904VFz
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,slY55tgD
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,cS0xFWLe
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,9ObdYgjE
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,bdL1AiTg
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,Eh0jGHHG
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,fdXeoG4Y
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,VLizXI4S
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,hwfHlcj0
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,LXr09etE
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,rJIOQs5I
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,u0HBDfCM
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,Se3krdOe
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,Rv06Swud
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,k7vdpUPm
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,dM1Ul9C1
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,goveJk6C
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,9fuWorUg
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,5EAm1OSI
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,ykBEoDm4
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,7lsl13uR
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,3BInfAfW
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,jaYcUgJ7
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,7aaYtB5h
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,t4ZFBlZ5
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,OBx6Uns1
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,yoHQO0M4
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,csES2dbH
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,mBF0LZCM
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,jcA5rGej
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,Ij2oIhWq
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,MvT5VMlm
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,qwbeGba5
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,PooALJ2S
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,wPjEbC6Z
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,DmQs5ORq
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,ZYEvGnr7
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,QkHCZ0hW
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,igUSHji9
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,u6KAodxP
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,6HQunM2t
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,Odaz8Nqd
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,oBZfvcE5
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,FHflb8L0
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,0ni02Dbu
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,XuMA9M03
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,US5fT0mR
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,1dAQqJ1w
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,TDaR6dmk
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,2dudNb6c
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,pyhqYn4L
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,K7iQVPoM
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,T8VRSK2r
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,VgpmBt0O
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,CqIgQ4kN
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,BaMiDSu3
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,hdUtNX7w
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,E9vrwoq4
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,YTYA25Eq
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,0lFkLKFo
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,jS3nhQXt
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,zq7sb7nY
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,5OOBS6mI
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,rNwgm8cb
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,ZUL9iYd6
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,pwlFm4Op
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,sCL6BmMn
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,f1ZDTDT9
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,ligt8EFj
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,ALj3pE0G
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,AWyuf3P4
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,2NkqLXLd
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,1z403K6U
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,GpM3kM9a
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,JNXMTH7g
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,39p1X5FV
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,tZRy8kXN
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,V0NSUZxr
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,Zfz9qFNx
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,WfuxqwT3
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,zW4O4KhN
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,TILr6VIw
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,KQI6XTIk
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,dPwUx8js
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,z7btaOEe
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,Ag2eNJq6
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,v0Cj49SS
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,tYa6KKTI
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,xNPDi24W
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,htEU4qIe
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,LTsmJ61P
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,9c5EcrZ6
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,7GbLAKN9
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,SGo9LhLX
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,JqzFT5iL
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,NGz11Xnm
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,iiWwyk7V
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,uh9udUxp
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,yHej7pFw
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,7OhbTvBf
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,MoJFMU2C
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,jvO0OMoD
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,w78ybHpo
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,Mbz7A5ce
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,Uq7zcX3b
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,RE2nd12s
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,wC2JLz4Y
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,hshDAn9P
278,Углова Галина Романовна,260,9г,3,Углова_ГР,W9mUmSar
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,4FwJ6dUL
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,r5KprYPf
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,iC1dXFYx
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,cTtYDH82
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,ZVX9yOj2
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,hh8ONTGC
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,kH5PpUSk
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,IRrJQlA4
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,afVkGMj4
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,jAC8z0PJ
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,A8d1SPKk
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,Ib3HQaNh
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,NtRZblw0
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,0Uedqx4M
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,cq2HEPiO
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,LfsM06tu
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,Gs9Wie1o
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,8DQyZYAz
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,1INIYWBd
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,0abVnpAx
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,0gIXPkpU
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,zsCIVz4K
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,Db3j940f
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,A2wJm1bU
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,hE5LUQvO
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,7kLEu59P
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,9oahJWAE
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,t3gwLhqF
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,Th4h080z
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,ZnuDg19l
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,1XsKPCm1
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,Y2jQE2Kj
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,ZDaB7PLe
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,Npm6LrtS
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,RXFaXn95
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,p40QaVvo
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,vGZ3XRaE
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,zx1dSUv0
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,n8UL2Yp4
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,Wm5OPTKH
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,O2OaQv8g
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,18L8ffMJ
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,hKfhrc5V
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,FY2EvyeL
